timestamp,total_equity,cash_balance,positions_value,unrealized_pnl,realized_pnl,total_pnl,open_positions_count,portfolio_return
2022-07-04 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-05 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-06 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-07 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-08 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-09 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-10 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-11 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-12 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-13 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-14 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-15 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-16 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-17 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-18 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-19 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-20 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-21 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-22 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-23 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-24 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-25 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-26 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-27 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-28 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-29 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-30 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-07-31 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-01 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-02 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-03 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-04 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-05 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-06 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-07 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-08 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-09 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-10 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-11 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-12 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-13 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-14 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-15 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-16 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-17 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-18 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-19 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-20 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-21 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-22 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-23 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-24 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-25 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-26 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-27 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-28 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-29 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-30 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-08-31 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-01 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-02 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-03 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-04 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-05 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-06 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-07 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-08 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-09 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-10 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-11 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-12 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-13 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-14 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-15 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-16 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-17 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-18 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-19 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-20 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-21 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-22 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-23 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-24 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-25 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-26 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-27 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-28 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-29 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-09-30 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-01 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-02 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-03 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-04 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-05 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-06 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-07 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-08 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-09 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-10 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-11 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-12 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-13 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-14 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-15 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-16 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-17 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-18 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-19 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-20 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-21 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-22 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-23 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-24 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-25 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-26 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-27 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-28 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-29 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-30 02:00:00+02:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-10-31 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-01 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-02 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-03 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-04 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-05 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-06 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-07 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-08 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-09 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-10 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-11 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-12 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-13 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
2022-11-14 01:00:00+01:00,38426.3024041947,38426.3024041947,0.0000000000,0.0000000000,28426.3024041947,28426.3024041947,0,284.2630240419
